"Symbol","Description","Date","Time","Open","High","Low","Close","TotalVolume"
ABBV,NYSE,02.01.2020,08:01:00,89.090,89.090,88.950,88.950,1325
ABBV,NYSE,02.01.2020,08:02:00,89.000,89.000,89.000,89.000,200
ABBV,NYSE,02.01.2020,08:03:00,89.000,89.000,89.000,89.000,146
ABBV,NYSE,02.01.2020,08:18:00,89.000,89.000,89.000,89.000,1000
ABBV,NYSE,02.01.2020,08:19:00,89.000,89.000,89.000,89.000,1000
ABBV,NYSE,02.01.2020,08:22:00,89.120,89.120,89.120,89.120,500
ABBV,NYSE,02.01.2020,08:24:00,89.120,89.120,89.120,89.120,500
ABBV,NYSE,02.01.2020,08:32:00,89.000,89.000,89.000,89.000,100
ABBV,NYSE,02.01.2020,08:40:00,89.105,89.110,89.105,89.110,200
ABBV,NYSE,02.01.2020,08:41:00,89.140,89.150,89.140,89.150,412
ABBV,NYSE,02.01.2020,08:44:00,89.150,89.150,89.150,89.150,300
ABBV,NYSE,02.01.2020,08:45:00,89.150,89.150,89.150,89.150,488
ABBV,NYSE,02.01.2020,08:46:00,89.100,89.100,89.100,89.100,100
ABBV,NYSE,02.01.2020,08:51:00,89.000,89.000,89.000,89.000,198
ABBV,NYSE,02.01.2020,08:52:00,89.000,89.000,89.000,89.000,768
ABBV,NYSE,02.01.2020,08:53:00,89.000,89.000,89.000,89.000,100
ABBV,NYSE,02.01.2020,09:02:00,89.000,89.000,89.000,89.000,100
ABBV,NYSE,02.01.2020,09:20:00,89.160,89.160,89.150,89.150,300
ABBV,NYSE,02.01.2020,09:21:00,89.150,89.150,89.150,89.150,500
ABBV,NYSE,02.01.2020,09:32:00,88.990,89.085,88.910,88.952,116341
ABBV,NYSE,02.01.2020,09:33:00,88.910,88.970,88.820,88.890,21429
ABBV,NYSE,02.01.2020,09:34:00,88.936,89.070,88.930,89.035,9940
ABBV,NYSE,02.01.2020,09:35:00,89.031,89.050,88.930,88.930,19240
ABBV,NYSE,02.01.2020,09:36:00,88.920,88.990,88.850,88.990,12113
ABBV,NYSE,02.01.2020,09:37:00,89.030,89.110,89.030,89.110,8605
ABBV,NYSE,02.01.2020,09:38:00,89.100,89.150,89.090,89.125,14930
ABBV,NYSE,02.01.2020,09:39:00,89.130,89.210,89.050,89.050,15453
ABBV,NYSE,02.01.2020,09:40:00,89.080,89.110,89.040,89.095,10509
ABBV,NYSE,02.01.2020,09:41:00,89.110,89.140,89.000,89.030,13090
ABBV,NYSE,02.01.2020,09:42:00,89.030,89.040,88.900,88.910,18325
ABBV,NYSE,02.01.2020,09:43:00,88.915,88.915,88.760,88.780,24650
ABBV,NYSE,02.01.2020,09:44:00,88.780,88.845,88.775,88.845,4396
ABBV,NYSE,02.01.2020,09:45:00,88.860,89.010,88.840,89.010,15870
ABBV,NYSE,02.01.2020,09:46:00,89.010,89.045,88.850,88.972,19364
ABBV,NYSE,02.01.2020,09:47:00,88.975,89.020,88.910,88.940,11702
ABBV,NYSE,02.01.2020,09:48:00,88.930,88.944,88.890,88.890,4791
ABBV,NYSE,02.01.2020,09:49:00,88.900,88.910,88.800,88.800,9182
ABBV,NYSE,02.01.2020,09:50:00,88.820,88.820,88.650,88.690,18453
ABBV,NYSE,02.01.2020,09:51:00,88.684,88.810,88.684,88.730,15021
ABBV,NYSE,02.01.2020,09:52:00,88.721,88.735,88.660,88.660,8382
ABBV,NYSE,02.01.2020,09:53:00,88.700,88.720,88.620,88.696,14501
ABBV,NYSE,02.01.2020,09:54:00,88.698,88.750,88.670,88.730,5909
ABBV,NYSE,02.01.2020,09:55:00,88.750,88.810,88.630,88.630,12724
ABBV,NYSE,02.01.2020,09:56:00,88.660,88.720,88.660,88.690,7611
ABBV,NYSE,02.01.2020,09:57:00,88.680,88.685,88.580,88.590,11701
ABBV,NYSE,02.01.2020,09:58:00,88.585,88.600,88.560,88.580,9742
ABBV,NYSE,02.01.2020,10:05:00,88.635,88.647,88.610,88.620,7678
ABBV,NYSE,02.01.2020,10:06:00,88.610,88.680,88.580,88.680,9503
ABBV,NYSE,02.01.2020,10:07:00,88.690,88.711,88.610,88.620,19320
ABBV,NYSE,02.01.2020,10:08:00,88.602,88.650,88.600,88.650,3789
ABBV,NYSE,02.01.2020,10:09:00,88.640,88.720,88.630,88.700,16333
ABBV,NYSE,02.01.2020,10:10:00,88.720,88.720,88.590,88.599,14277
ABBV,NYSE,02.01.2020,10:11:00,88.600,88.618,88.550,88.600,8194
ABBV,NYSE,02.01.2020,10:12:00,88.600,88.620,88.550,88.598,6686
